address,city,country,keys,latitude,longitude,name,postalCode,province,websites
324 Main St,Massena,US,us/ny/massena/324mainst/-1161002137,44.9213,-74.89021,McDonald's,13662,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
530 Clinton Ave,Washington Court House,US,us/oh/washingtoncourthouse/530clintonave/-791445730,39.53255,-83.44526,Wendy's,43160,OH,http://www.wendys.com
408 Market Square Dr,Maysville,US,us/ky/maysville/408marketsquaredr/1051460804,38.62736,-83.79141,Frisch's Big Boy,41056,KY,"http://www.frischs.com,https://www.frischs.com/location/maysville-ky/"
6098 State Highway 37,Massena,US,us/ny/massena/6098statehighway37/-1161002137,44.95008,-74.84553,McDonald's,13662,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
139 Columbus Rd,Athens,US,us/oh/athens/139columbusrd/990890980,39.35155,-82.09728,OMG! Rotisserie,45701,OH,"http://www.omgrotisserie.com,http://omgrotisserie.com"
4182 Tonya Trl,Hamilton,US,us/oh/hamilton/4182tonyatrl/-1055723171,39.4176,-84.47641,Domino's Pizza,45011,OH,"https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps"
590 S Main St,Englewood,US,us/oh/englewood/590smainst/-1055723171,39.86969,-84.29358,Domino's Pizza,45322,OH,"https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps"
401 N Jennings St,Saluda,US,us/sc/saluda/401njenningsst/-1161002137,34.00598,-81.7704,McDonald's,29138,SC,http://www.mcdonalds.com
205 W Church St,Batesburg,US,us/sc/batesburg/205wchurchst/-791445730,33.91335,-81.5333,Wendy's,29006,SC,http://www.wendys.com
2711 W. Kings Highway Ste. 18,Paragould,US,us/ar/paragould/2711wkingshighwayste18/-66712705,36.06107,-90.52325,Pizza Hut,72450,AR,http://www.pizzahut.com
613 W Center St,Sheridan,US,us/ar/sheridan/613wcenterst/1780593795,34.30687,-92.40784,SONIC Drive In,72150,AR,https://locations.sonicdrivein.com/ar/sheridan/613-w--center-street.html
512 Highway 425 S Lot B,Monticello,US,us/ar/monticello/512highway425slotb/-1055723171,33.61937,-91.80232,Domino's Pizza,71655,AR,"https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps"
1535 NW 50th St,Oklahoma City,US,us/ok/oklahomacity/1535nw50thst/-1161002137,35.52234,-97.5382,McDonald's,73118,OK,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
125 Towne Center Dr,Lexington,US,us/ky/lexington/125townecenterdr/-1055723171,38.06753,-84.53043,Domino's Pizza,40511,KY,"https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps"
66 14th St.,Tell City,US,us/in/tellcity/6614thst/1516016543,37.941032,-86.762115,Long John Silver's,47586,IN,http://www.ljsilvers.com
301 University Blvd,Louisville,US,us/ky/louisville/301universityblvd/-1161002137,38.21999,-85.764824,McDonald's,40208,KY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
5812 NW Expressway,Oklahoma City,US,us/ok/oklahomacity/5812nwexpressway/-1161002137,35.54815,-97.61717,McDonald's,73132,OK,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
